Meal Description,Meal Name,Serving Sizes,Meal Type,Country,Source,Weight,Carb,Protein,Fat,Fiber,Calories
['Tea with Milk'],"[['milk powder fullcream', 'tea leaves', 'sugar']]",['one fourth medium'],Breakfast,Kenya,WHO,[62.3],[51.0],[4.7],[4.8],[0.0],[259.0]
['Pilau'],"[['vegetable oil', 'meat', 'rice white grain raw corrected for cooking']]",['1 1/4 cup'],Lunch,Kenya,WHO,[236.],[94.5],[30.599999999999998],[48.4],[0.9],[943.0]
"['Githeri', 'Sukuma Wiki', 'Ugali', 'Nyama Choma', 'Chapati']","[['beans kdney mature seeds raw corrected for boiling water drained', 'maize dried raw corrected for boiling'], ['vegetable oil', 'greens kale or spinach', 'onions', 'tomatoes'], ['maize dried raw corrected for boiling', 'water'], ['vegetable oil', 'meat', 'spices'], ['wheat flour', 'water', 'vegetable']]","['5 oz yields', 'a pinch', 'one fourth cup, cooked', 'a pinch', 'a pinch']",Dinner,Kenya,WHO,[101.  17.  69.  17.   0.],"[72.3, 0.0, 53.1, 0.0, 0.0]","[13.1, 0.0, 5.6, 0.0, 0.0]","[2.8, 17.0, 2.5, 17.0, 0.0]","[13.0, 0.0, 5.0, 0.0, 0.0]","[356.0, 147.0, 250.0, 147.0, 0.0]"
['Kenyan Chai'],"[['tea leaves', 'sugar', 'milk powder fullcream']]",['2 fl oz'],Breakfast,Kenya,WHO,[62.3],[51.0],[4.7],[4.8],[0.0],[259.0]
"['Ugali', 'Maziwa Lala']","[['maize flour dry corrected for boiling'], ['goat milk']]","['one half cup, cooked', 'one half cup']",Lunch,Kenya,WHO,[113.5  83.4],"[87.3, 3.7]","[9.2, 3.0]","[4.1, 3.5]","[8.3, 0.0]","[411.0, 58.0]"
['Sweetened Milk'],"[['milk whole 325 milk fat', 'sugar']]",['three fourths fl oz'],Breakfast,Kenya,WHO,[25.7],[12.799999999999999],[0.4],[0.4],[0.0],[55.0]
"['Ugali', 'Sukuma Wiki', 'Bean Stew']","[['maize dried raw corrected for boiling'], ['vegetable oil', 'onion raw corrected for cooking'], ['beans kidney mature seeds raw corrected for boiling water drained', 'royco']]","['one fourth cup, cooked', 'a pinch', 'a pinch']",Lunch,Kenya,WHO,[36.8 11.3  0.7],"[28.3, 0.4, 0.0]","[3.0, 0.1, 0.0]","[1.3, 7.1, 0.0]","[2.7, 0.1, 0.0]","[133.0, 63.0, 0.0]"
"['Ugali', 'Sukuma Wiki', 'Vegetable Stew']","[['maize flour dry corrected for boiling'], ['onion raw corrected for cooking', 'vegetable oil', 'cabbage raw corrected for stir frying'], ['tomato ripe corrected for cooking', 'royco']]","['a pinch', 'one fourth cup', 'a pinch']",Dinner,Kenya,WHO,[18.1 55.1  8.4],"[13.9, 2.9, 0.4]","[1.5, 0.6, 0.1]","[0.7, 6.3, 0.0]","[1.3, 1.1, 0.1]","[66.0, 68.0, 2.0]"
['Sweet Tea'],"[['sugar', 'milk whole 325 milk fat', 'tea leaves']]",['1 3/4 fl oz (NFS)'],Breakfast,Kenya,WHO,[54.5],[21.6],[1.1],[1.1],[0.0],[98.0]
"['Ugali', 'Sukuma Wiki', 'Ewedu Soup']","[['maize flour dry corrected for boiling'], ['onion raw corrected for cooking', 'vegetable oil'], ['cowpea leaf raw corrected for cooking']]","['one fourth cup, cooked', 'a pinch', 'one half cup']",Lunch,Kenya,WHO,[ 53.5  18.9 117.4],"[41.1, 0.7, 8.6]","[4.3, 0.1, 10.9]","[1.9, 11.8, 0.9]","[3.9, 0.1, 3.9]","[194.0, 105.0, 43.0]"
['Chai'],"[['tea leaves', 'milk whole 325 milk fat', 'sugar']]",['a pinch'],Breakfast,Kenya,WHO,[17.3],[7.7],[0.3],[0.3],[0.0],[34.0]
